m_id,n,ns_per_op,bed_setup,it_setup,sr_setup,ir_setup,it_pos,sr_pos,ir_pos,b_name
69,241189371,24.85,5s,5,3,3,4,2,1,BenchmarkScanComments/10ValidUtf8
70,241688914,24.82,5s,5,3,3,5,2,1,BenchmarkScanComments/10ValidUtf8
71,241011216,24.82,5s,5,3,3,1,3,1,BenchmarkScanComments/10ValidUtf8
72,241131964,24.9,5s,5,3,3,2,3,1,BenchmarkScanComments/10ValidUtf8
73,240856078,24.86,5s,5,3,3,3,3,1,BenchmarkScanComments/10ValidUtf8
74,241538229,24.84,5s,5,3,3,4,3,1,BenchmarkScanComments/10ValidUtf8
75,241037169,24.87,5s,5,3,3,5,3,1,BenchmarkScanComments/10ValidUtf8
76,2157644,2784.0,5s,5,3,3,1,1,1,BenchmarkScanComments/1kValidUtf8
77,2158216,2779.0,5s,5,3,3,2,1,1,BenchmarkScanComments/1kValidUtf8
78,2157796,2778.0,5s,5,3,3,3,1,1,BenchmarkScanComments/1kValidUtf8
79,2145112,2782.0,5s,5,3,3,4,1,1,BenchmarkScanComments/1kValidUtf8
80,2157694,2779.0,5s,5,3,3,5,1,1,BenchmarkScanComments/1kValidUtf8
81,2155285,2781.0,5s,5,3,3,1,2,1,BenchmarkScanComments/1kValidUtf8
82,2158182,2780.0,5s,5,3,3,2,2,1,BenchmarkScanComments/1kValidUtf8
83,2148721,2780.0,5s,5,3,3,3,2,1,BenchmarkScanComments/1kValidUtf8
84,2156229,2779.0,5s,5,3,3,4,2,1,BenchmarkScanComments/1kValidUtf8
85,2158509,2778.0,5s,5,3,3,5,2,1,BenchmarkScanComments/1kValidUtf8
86,2159464,2779.0,5s,5,3,3,1,3,1,BenchmarkScanComments/1kValidUtf8
87,2148523,2779.0,5s,5,3,3,2,3,1,BenchmarkScanComments/1kValidUtf8
88,2159083,2780.0,5s,5,3,3,3,3,1,BenchmarkScanComments/1kValidUtf8
89,2156978,2780.0,5s,5,3,3,4,3,1,BenchmarkScanComments/1kValidUtf8
90,2157814,2780.0,5s,5,3,3,5,3,1,BenchmarkScanComments/1kValidUtf8
91,154071123,38.9,5s,5,3,3,1,1,1,BenchmarkParseLiteralStringValid/10Valid
92,154306761,38.89,5s,5,3,3,2,1,1,BenchmarkParseLiteralStringValid/10Valid
93,154241707,38.89,5s,5,3,3,3,1,1,BenchmarkParseLiteralStringValid/10Valid
94,154235810,38.9,5s,5,3,3,4,1,1,BenchmarkParseLiteralStringValid/10Valid
95,154232808,38.89,5s,5,3,3,5,1,1,BenchmarkParseLiteralStringValid/10Valid
96,153776731,38.91,5s,5,3,3,1,2,1,BenchmarkParseLiteralStringValid/10Valid
97,154331178,38.88,5s,5,3,3,2,2,1,BenchmarkParseLiteralStringValid/10Valid
98,154210033,38.98,5s,5,3,3,3,2,1,BenchmarkParseLiteralStringValid/10Valid
99,154215890,38.9,5s,5,3,3,4,2,1,BenchmarkParseLiteralStringValid/10Valid
100,154256595,38.9,5s,5,3,3,5,2,1,BenchmarkParseLiteralStringValid/10Valid
101,154187594,38.89,5s,5,3,3,1,3,1,BenchmarkParseLiteralStringValid/10Valid
102,154261768,38.98,5s,5,3,3,2,3,1,BenchmarkParseLiteralStringValid/10Valid
103,154285111,38.99,5s,5,3,3,3,3,1,BenchmarkParseLiteralStringValid/10Valid
